epoch,teacher_forcing_ratio,train_scaled_mse,validation_recursive_scaled_mse,validation_recursive_rmse_cm
0.0,0.0,,0.07193184951461384,6.151523588993341
1.0,1.0,0.0210072982558556,0.060987598387801795,5.664255643955771
2.0,0.75,0.030607658669060154,0.060758252331214936,5.653595293852796
3.0,0.5,0.03982925480971691,0.06075748211482158,5.653559459168536
4.0,0.25,0.04914385203312031,0.061048186145131335,5.6670685056206125
5.0,0.0,0.06050127732326053,0.06207721371015678,5.714630937920367
6.0,0.0,0.05957703188485846,0.06141272505658514,5.683963292298277
7.0,0.0,0.05897962904316271,0.06235482597767947,5.7273947351418695
8.0,0.0,0.05861716835495671,0.06187537318024063,5.705332975071696
9.0,0.0,0.05806697836890269,0.06189319982433906,5.706154785193007
